municipio,estado,populacao_municipio,populacao_estado,area_km2,densidade_populacional,percentual_populacao_estado
Boa Nova,Bahia,14052.0,14850513.0,848.857,16.55402500067738,0.09462299383193025
Boa Vista do Tupim,Bahia,17307.0,14850513.0,2972.109,5.823137711301975,0.11654142856883126
Bom Jesus da Lapa,Bahia,68704.0,14850513.0,4115.51,16.693921288005615,0.4626372166402602
Bom Jesus da Serra,Bahia,10028.0,14850513.0,467.909,21.43151766689677,0.06752628680234818
Boninal,Bahia,14104.0,14850513.0,896.857,15.726029902202916,0.09497315008579164
Bonito,Bahia,16393.0,14850513.0,791.276,20.717170746995993,0.11038675902980591
Boquira,Bahia,19829.0,14850513.0,1426.233,13.903057915501886,0.13352400688110908
Botuporã,Bahia,11411.0,14850513.0,627.612,18.181615392949784,0.07683909640023884
Brejolândia,Bahia,9377.0,14850513.0,2247.208,4.172733454135087,0.06314259985496797
Brejões,Bahia,13272.0,14850513.0,518.566,25.59365635232545,0.08937065002400928
Brotas de Macaúbas,Bahia,12169.0,14850513.0,2520.817,4.827403179207376,0.08194329717768
Brumado,Bahia,74095.0,14850513.0,2207.612,33.56341603506413,0.49893899288192944
Buerarema,Bahia,15056.0,14850513.0,219.487,68.59631777736267,0.10138370304110032
Buritirama,Bahia,20212.0,14850513.0,4046.736,4.9946425959093945,0.13610304236628054
Caatiba,Bahia,6224.0,14850513.0,512.436,12.145907001069402,0.04191101007756432
Cabaceiras do Paraguaçu,Bahia,17039.0,14850513.0,222.026,76.743264302379,0.1147367771066225
Cachoeira,Bahia,30550.0,14850513.0,394.894,77.3625327303023,0.2057167991435717
Caculé,Bahia,23246.0,14850513.0,610.983,38.04688510154947,0.15653331302427062
Caetanos,Bahia,11500.0,14850513.0,767.146,14.99062759891859,0.07743840229627083
Caetité,Bahia,54572.0,14850513.0,2651.536,20.58127817234991,0.3674755208793124
Cafarnaum,Bahia,18039.0,14850513.0,643.66,28.025665724140076,0.12147055121934172
Cairu,Bahia,18486.0,14850513.0,448.846,41.18561822986057,0.1244805482477272
Caldeirão Grande,Bahia,13566.0,14850513.0,458.311,29.599987781222797,0.09135037961314872
Camacan,Bahia,22756.0,14850513.0,584.848,38.90925505430471,0.15323376370903818
Camamu,Bahia,31775.0,14850513.0,839.702,37.840805428592525,0.2139656724316527
Camaçari,Bahia,319394.0,14850513.0,785.421,406.65324711205835,2.150727048957837
Campo Alegre de Lourdes,Bahia,32377.0,14850513.0,2914.587,11.108606468086217,0.21801940444750967
Campo Formoso,Bahia,74894.0,14850513.0,7161.827,10.457387479479747,0.5043192783979921
Canarana,Bahia,24989.0,14850513.0,579.726,43.104846082459645,0.1682702813027402
Canavieiras,Bahia,34343.0,14850513.0,1334.284,25.73889816560792,0.2312580043531156
